Title,Category,Date finished,Date started,Owned,Rating,Release date,Status
Final Fantasy VII Rebirth,JRPG,"November 4, 2024","September 25, 2024",Yes,Not yet rated,,Completed
Spider-Man 2,Action Adventure,"November 4, 2024","September 25, 2024",Yes,Not yet rated,,Completed
Crash Bandicoot 4: It’s About Time,Platformer,,"September 25, 2024",No,Not yet rated,,Not started
Alan Wake,"Action Adventure, Survival Horror","November 5, 2024","September 25, 2024",Yes,Not yet rated,,Completed
Ghost of Tsushima,"Action Adventure, Open world","April 9, 2026","September 25, 2024",Yes,Not yet rated,,Completed
Control,Action Adventure,"January 30, 2026","September 25, 2024",No,Not yet rated,,Completed
Stellar Blade,Action RPG,,"September 25, 2024",No,Not yet rated,,Not started
Prince of Persia: The Lost Crown,"Action Adventure, Platformer",,"September 25, 2024",No,Not yet rated,,Up next!
Armored Core VI,Mecha Action,,"September 25, 2024",No,Not yet rated,,Not started
Rise of the Tomb Raider,Action Adventure,,"September 25, 2024",No,Not yet rated,,Not started
Shadow of the Tomb Raider,Action Adventure,,"September 25, 2024",No,Not yet rated,,Not started
Tomb Raider: Definitive Edition,Action Adventure,,"September 25, 2024",No,Not yet rated,,Not started
Until Dawn Remake,"Interactive Drama, Survival Horror",,"September 25, 2024",Yes,Not yet rated,,Playing
Tiny Tina's Wonderland,"Action RPG, First-Person Shooter",,"September 25, 2024",No,Not yet rated,,Not started
Baldur's Gate III,RPG,"April 15, 2025","September 25, 2024",Yes,Not yet rated,,Completed
Tales of Arise,JRPG,,"September 25, 2024",No,Not yet rated,,Not started
Black Myth: Wukong,Action RPG,,"September 25, 2024",No,Not yet rated,,Not started
Elden Ring,"Action RPG, Open world",,"September 25, 2024",No,Not yet rated,,Not started
Banishers: Ghosts of New Eden,Action RPG,,"September 25, 2024",No,Not yet rated,,Not started
Marvel's Midnight Suns,Strategy RPG,,"September 25, 2024",No,Not yet rated,,Not started
Kingdom Hearts: Birth by Sleep (Final Mix),JRPG,,"September 25, 2024",No,Not yet rated,,Not started
Lies of P,"Action RPG, Soulslike",,"September 25, 2024",No,Not yet rated,,Not started
Kingdom Hearts 1 (Final Mix),JRPG,,"September 25, 2024",Yes,Not yet rated,,Paused
Kingdom Hearts: Chain of Memories,"Action RPG, JRPG",,"September 25, 2024",No,Not yet rated,,Not started
Kingdom Hearts: 358/2 Days,Cutscenes Only,,"September 25, 2024",No,Not yet rated,,Not started
Kingdom Hearts 2 (Final Mix),JRPG,,"September 25, 2024",No,Not yet rated,,Not started
Kingdom Hearts: Re: Coded,Cutscenes Only,,"September 25, 2024",No,Not yet rated,,Not started
Kingdom Hearts: Dream Drop Distance (HD Remix),"Action RPG, JRPG",,"September 25, 2024",No,Not yet rated,,Not started
Kingdom Hearts 0.2: Birth by Sleep – A Fragmentary Passage,"Action RPG, JRPG",,"September 25, 2024",No,Not yet rated,,Not started
Kingdom Hearts X (Back Cover),Cutscenes Only,,"September 25, 2024",No,Not yet rated,,Not started
Kingdom Hearts 3,"Action RPG, JRPG",,"September 25, 2024",No,Not yet rated,,Not started
Kingdom Hearts: Melody of Memory,Rhythm Game,,"September 25, 2024",No,Not yet rated,,Not started
Yakuza Kiwami,"Action Adventure, Beat 'em up",,"September 25, 2024",No,Not yet rated,,Not started
Yakuza 0,"Action Adventure, Beat 'em up",,"September 25, 2024",No,Not yet rated,,Not started
Yakuza 3 Remastered,"Action Adventure, Beat 'em up",,"September 25, 2024",No,Not yet rated,,Not started
Yakuza Kiwami 2,"Action Adventure, Beat 'em up",,"September 25, 2024",No,Not yet rated,,Not started
Yakuza 4 Remastered,"Action Adventure, Beat 'em up",,"September 25, 2024",No,Not yet rated,,Not started
Yakuza 5 Remastered,"Action Adventure, Beat 'em up",,"September 25, 2024",No,Not yet rated,,Not started
Yakuza: Like a Dragon,Turn-Basaed RPG,,"September 25, 2024",No,Not yet rated,,Not started
Yakuza 6: The Song of Life,"Action Adventure, Beat 'em up",,"September 25, 2024",No,Not yet rated,,Not started
Like a Dragon: Ishin!,"Action Adventure, Beat 'em up",,"September 25, 2024",No,Not yet rated,,Not started
Like a Dragon Gaiden: The Man Who Erased His Name,"Action Adventure, Beat 'em up",,"September 25, 2024",No,Not yet rated,,Not started
Like a Dragon: Infinite Wealth,Turn-Basaed RPG,,"September 25, 2024",No,Not yet rated,,Not started
Lost Judgment,"Action Adventure, Detective",,"September 25, 2024",No,Not yet rated,,Not started
Judgment,"Action Adventure, Detective",,"September 25, 2024",No,Not yet rated,,Not started
Assassin's Creed Odyssey,"Action Adventure, Open world",,"September 25, 2024",No,Not yet rated,,Not started
Assassin's Creed Valhalla,"Action Adventure, Open world",,"September 25, 2024",No,Not yet rated,,Not started
Assassin's Creed Mirage,"Action Adventure, Open world",,"September 25, 2024",No,Not yet rated,,Not started
Resident Evil 4 (Remake),"Action Adventure, Survival Horror",,"September 25, 2024",No,Not yet rated,,Not started
Resident Evil 3 (Remake),"Action Adventure, Survival Horror",,"September 25, 2024",No,Not yet rated,,Not started
Resident Evil 2 (Remake),"Action Adventure, Survival Horror",,"September 25, 2024",No,Not yet rated,,Not started
Persona 5 Royal,JRPG,,"September 25, 2024",No,Not yet rated,,Not started
Dead Space (Remake),Survival Horror,,"September 25, 2024",No,Not yet rated,,Not started
Persona 4 Golden,JRPG,,"September 25, 2024",No,Not yet rated,,Not started
Kena: Bridge of Spirits,Action Adventure,,"September 25, 2024",No,Not yet rated,,Not started
Shin Megami Tensei V,JRPG,,"September 25, 2024",No,Not yet rated,,Not started
Ultros,Metroidvania,,"September 25, 2024",No,Not yet rated,,Not started
Plucky Squire,"Action Adventure, Platformer",,"September 25, 2024",No,Not yet rated,,Not started
Alan Wake 2,Survival Horror,,"September 25, 2024",No,Not yet rated,,Up next!
Astro Bot,Platformer,,"September 25, 2024",No,Not yet rated,,Not started
Like a Dragon: Pirate Yakuza in Hawaii,Action Adventure,,"September 25, 2024",No,Not yet rated,28/02/2025,Not released
Persona 3 Reloaded,JRPG,,"October 4, 2024",No,Not yet rated,,Not started
Nier automata,Action RPG,,"October 5, 2024",No,Not yet rated,,Not started
LEGO Horizon Adventures,Action Adventure,,"October 7, 2024",No,Not yet rated,,Not started
Metaphor: RePhantazio,JRPG,,"October 12, 2024",No,,,Not started
Dragon’s Dogma 2,Action RPG,,"October 14, 2024",No,Not yet rated,,Not started
Final Fantasy XVI,Action RPG,"November 13, 2024","October 15, 2024",Yes,Not yet rated,,Completed
Ender lilies,"Action RPG, Metroidvania","June 12, 2025","October 15, 2024",Yes,Not yet rated,,Completed
Ultimate Chicken Horse,Party Platformer,,"October 21, 2024",Yes,Not yet rated,,Paused
Vision of mana,Action RPG,,"October 22, 2024",No,Not yet rated,,Not started
Expedition 33,Turn-Basaed RPG,"June 12, 2025","October 25, 2024",No,Not yet rated,,Completed
Ghostwire: Tokyo,"Action Adventure, First-Person Shooter, Horror",,"November 5, 2024",Yes,Not yet rated,,Not started
Hot Wheels Unleashed 2: Turbocharged,Arcade Racing Game,,"November 5, 2024",Yes,Not yet rated,,Not started
Disco Elysium,RPG,,"December 5, 2024",No,Not yet rated,,Not started
Dragon Age: Veilguard,Action RPG,,"December 5, 2024",No,Not yet rated,,Not started
Solasta: Crown of the Magister,Turn-Basaed RPG,,"December 17, 2024",No,,,Not started
The Witcher 4,Action RPG,,"December 17, 2024",No,Not yet rated,,Not started
Indiana Jones and the Great Circle,Action Adventure,,"December 17, 2024",No,Not yet rated,,Not started
The Outer Worlds,"Open world, RPG",,"December 17, 2024",No,Not yet rated,,Not started
Mafia Trilogy,Action Adventure,,"December 17, 2024",No,Not yet rated,,Not started
Silent Hill 2,Survival Horror,,"December 19, 2024",No,Not yet rated,,Not started
Sonic x Shadow Generations,"Action Adventure, Platformer",,"December 19, 2024",No,Not yet rated,,Not started
Tekken 8,Fighting Game,,"December 23, 2024",No,Not yet rated,,Not started
Doom (2016),First-Person Shooter,,"December 23, 2024",No,Not yet rated,,Not started
DOOM Eternal,First-Person Shooter,,"December 23, 2024",No,Not yet rated,,Not started
Resident Evil Village,"Action Adventure, Survival Horror",,"December 23, 2024",No,Not yet rated,,Not started
Inscryption,"Deck Building, Psychological Horror, Puzzle Adventure, Roguelite",,"December 23, 2024",No,Not yet rated,,Not started
Mass Effect Legendary Edition,Action RPG,,"December 23, 2024",No,Not yet rated,,Not started
Sifu,"Beat 'em up, Roguelite",,"December 23, 2024",No,Not yet rated,,Not started
Hi-Fi Rush,"Action Adventure, Platformer, Rythm Action Game",,"December 23, 2024",No,Not yet rated,,Not started
DAVE THE DIVER,"Adventure RPG, Management Simulation",,"December 23, 2024",No,Not yet rated,,Not started
Shadow Gambit: The Cursed Crew,"Stealth Strategy Game, Tactical RPG",,"December 23, 2024",No,Not yet rated,,Not started
Hades,"Action RPG, Roguelite",,"December 23, 2024",No,Not yet rated,,Paused
Balatro,"Deck Building, Roguelite",,"December 23, 2024",No,Not yet rated,,Not started
It Takes Two,"Action Adventure, Co-Op, Platformer",,"December 23, 2024",Yes,Not yet rated,,Paused
Red Dead Redemption 2,"Action Adventure, Open world",,"December 23, 2024",No,Not yet rated,,Paused
Ender Magnolia,"Action RPG, Metroidvania",,"January 12, 2025",No,Not yet rated,,Not started
Kingdom Come: Deliverance II,"Action RPG, Open world",,"April 14, 2025",No,Not yet rated,,Not started
Rogue Waters,"Roguelite, Turn-Basaed RPG",,"April 14, 2025",No,Not yet rated,,Not started
https://www.ign.com/games/teenage-mutant-ninja-turtles-the-last-ronin,Action RPG,,"April 14, 2025",No,Not yet rated,,Not started
Split Fiction,"Action Adventure, Co-Op, Platformer",,"June 13, 2025",No,Not yet rated,,Paused
Nobody Saves the World,"Action RPG, Dungeon Crawling, Metroidvania","October 7, 2025","June 13, 2025",No,Not yet rated,,Completed
The First Berserker: Khazan,"Action RPG, Soulslike",,"June 13, 2025",No,Not yet rated,,Not started
Silksong,"Action Adventure, Metroidvania","November 27, 2025","August 30, 2025",Yes,Not yet rated,04/09/2025,Completed
Suikoden I & II HD Remaster: Gate Rune and Dunan Unification Wars,JRPG,,"October 7, 2025",No,Not yet rated,,Not started
Ghost of Yotei,"Action Adventure, Open world",,"October 7, 2025",Yes,Not yet rated,,Playing
Hell is Us,Action Adventure,,"October 7, 2025",No,Not yet rated,,Not started
Dying Light: The Beast,"Action RPG, Open world, Survival Horror",,"October 7, 2025",No,Not yet rated,,Not started
Borderlands 4,"Action RPG, Looter Shooter",,"October 7, 2025",No,Not yet rated,,Not started
Death Stranding: Director's Cut,"Action Adventure, Open world",,"October 7, 2025",No,Not yet rated,,Not started
Death Stranding 2: On The Beach,"Action Adventure, Open world",,"October 7, 2025",No,Not yet rated,,Not started
Koira,"Platformer, Puzzle Adventure",,"October 8, 2025",No,Not yet rated,,Not started
Bionic Bay,Platformer,,"October 8, 2025",No,Not yet rated,,Not started
Cocoon,Puzzle Adventure,,"October 8, 2025",No,Not yet rated,,Not started
The Alters,Survival Adventure,,"October 8, 2025",No,Not yet rated,,Not started
Blue Prince,Puzzle Adventure,,"October 8, 2025",No,Not yet rated,,Not started
Cult of the Lamb,"Management Simulation, Roguelike","April 9, 2026","January 30, 2026",Yes,Not yet rated,,Completed
Core Keeper,"Action RPG, Survival Horror",,"January 30, 2026",Yes,Not yet rated,,Not started
Disney Epic Mickey: Rebrushed,"Action Adventure, Platformer",,"January 30, 2026",Yes,Not yet rated,,Not started
