name,platform,membership,title_id,product_id,concept_id,entitlement_id,is_preorder,is_downloadable,image_url,store_url
HEAVY RAIN™,PS4,NONE,CUSA02356_00,EP9000-CUSA02356_00-HRPS400000000001,,EP9000-CUSA02356_00-HRPS400000000001,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA02356_00/4/i_66ce91c41dc8b875a6e000819d4c33c28320f5599295d86e6bc1bdbb8690dbac/i/icon0.png,https://store.playstation.com/product/EP9000-CUSA02356_00-HRPS400000000001
Red Dead Redemption 2,PS4,PS_PLUS,CUSA08519_00,EP1004-CUSA08519_00-REDEMPTIONFULL02,,EP1004-CUSA08519_00-REDEMPTION000002,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA08519_00/12/i_3da1cf7c41dc7652f9b639e1680d96436773658668c7dc3930c441291095713b/i/icon0.png,https://store.playstation.com/product/EP1004-CUSA08519_00-REDEMPTIONFULL02
Until Dawn,PS5,PS_PLUS,PPSA15421_00,EP9000-PPSA15421_00-FULLGAME00000001,,EP9000-PPSA15421_00-FULLGAME00000001,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA15421_00/app/info/25/fi_6693db547a6b30fcfb789268f0f55dc815f309547bad8af3420f986d2755c4ed/icon0.png,https://store.playstation.com/product/EP9000-PPSA15421_00-FULLGAME00000001
Nine Sols,PS4,PS_PLUS,CUSA50688_00,JP4443-PPSA25414_00-0905368681809535,,JP4443-CUSA50688_00-0507167220706885,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA50688_00/5/i_4e4b3e3509449d3c6114428f347544da7b2711f0f05d09ee68acf61dd139e4fb/i/icon0.png,https://store.playstation.com/product/JP4443-PPSA25414_00-0905368681809535
Nine Sols,PS5,PS_PLUS,PPSA25414_00,JP4443-PPSA25414_00-0905368681809535,,JP4443-PPSA25414_00-0905368681809535,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA25414_00/app/info/17/fi_bc802da434f60fc36ff5344b1cce2a99b6ad92eefea891308613db2958ea1db8/icon0.png,https://store.playstation.com/product/JP4443-PPSA25414_00-0905368681809535
Cult of the Lamb,PS4,NONE,CUSA32184_00,EP3643-PPSA06465_00-6733855131785360,,EP3643-CUSA32184_00-CULTOFTHELAMB000,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA32184_00/2/i_d48ab9ff4206951902684160a2abb653e26f976d14099376834fe4f93e887671/i/icon0.png,https://store.playstation.com/product/EP3643-PPSA06465_00-6733855131785360
Cult Of The Lamb,PS5,NONE,PPSA06465_00,EP3643-PPSA06465_00-6733855131785360,,EP3643-PPSA06465_00-CULTOFTHELAMB000,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA06465_00/app/info/79/fi_96cbe21e744404f4365b4897ef32891d3cbd59ecbdf49965f4b79dbbceff3c68/icon0.png,https://store.playstation.com/product/EP3643-PPSA06465_00-6733855131785360
Need for Speed™ Unbound,PS5,PS_PLUS,PPSA01717_00,EP0006-PPSA01717_00-NEEDFORSPEED2022,,EP0006-PPSA01717_00-NEEDFORSPEED2022,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA01717_00/app/info/103/fi_838961cdf19a96539b639bf0003dcf8e361cabcf4b0e2690a7ef92d38fa2972f/icon0.png,https://store.playstation.com/product/EP0006-PPSA01717_00-NEEDFORSPEED2022
Disney Epic Mickey: Rebrushed,PS4,PS_PLUS,CUSA42649_00,EP4389-PPSA15657_00-EPICMICKEYREMAKE,,EP4389-CUSA42649_00-EPICMICKEYREMAKE,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA42649_00/4/i_2fb1a1cbbe6b0211d0826cb1e72c1a383381b8f2003e68e679d0d90a56e50bdd/i/icon0.png,https://store.playstation.com/product/EP4389-PPSA15657_00-EPICMICKEYREMAKE
Disney Epic Mickey: Rebrushed,PS5,PS_PLUS,PPSA15657_00,EP4389-PPSA15657_00-EPICMICKEYREMAKE,,EP4389-PPSA15657_00-EPICMICKEYREMAKE,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA15657_00/app/info/19/fi_84e9d0ceb2fe6b144f4492f226e93819a978c9586eb8b99f3e1e282e1e9fcc6f/icon0.png,https://store.playstation.com/product/EP4389-PPSA15657_00-EPICMICKEYREMAKE
